fd,DE,Zum Dom
fd,DE,Café am See
fd,DE,Bei Ilja
fd,DE,Pane e Vino
sm,DE,Markant
md,DE,Wandels Apotheke EKZ Grönauer Heide
fd,DE,Bistro Grönauer Grill
md,DE,Charlotten-Apotheke
fd,DE,Restaurant Betty Elias
fd,DE,Denkfabrik
fd,DE,№17 Fleur de Sel
fd,DE,Parkcafe
fd,DE,Taverna Dafni
fd,DE,Kaminstubb
fd,DE,Vesuvio
fd,DE,Enchilada
fd,DE,Spalato
fd,DE,Hatz
fd,DE,La Rose
en,DE,Umspannwerk
fd,DE,Eiscafe Eisberg
fd,DE,Tibet Haus
fd,DE,Curry 36
fd,DE,Gioia
fd,DE,Panorama
fd,DE,Ristorante Quintino
fd,DE,Walachischer Kessel
bk,DE,Arena Balkan Bäckerei
fd,DE,Großer Kurfürst
fd,DE,Gasthaus Gutenberg
fd,DE,Hendl Cube
fd,DE,Moghul Mahal
fd,DE,Pronto Pronto
fd,DE,Bangkok Foodland
fd,DE,Die Pinte
fd,DE,Heilige Sophie
fd,DE,Café-Bar 59
fd,DE,Trattoria Da Giovanni
bk,DE,Richard Nussbaumer
fd,DE,Il Teatro²
fd,DE,Thasy Tamil Karlsruhe
fd,DE,Soong Hau
fd,DE,King Seng
fd,DE,juno
md,DE,Rosenapotheke
fd,DE,Dersim
fd,DE,"Flammaurant ""Zum Engele"""
cl,DE,ALBgeflüster
fd,DE,GOLDBLOND
md,DE,Schloßapotheke
fd,DE,Zum Sternen
fd,DE,Tiziano
md,DE,Sibylla-Apotheke
fd,DE,Palladio
fd,DE,Adoo
fd,DE,Portobello
md,DE,Erbprinz-Apotheke
fd,DE,Pot au Feu
fd,DE,Asia Bistro Hong
md,DE,Goethe-Apotheke
sm,DE,Penny
bk,DE,Gatenbröcker
fd,DE,Veritas
fd,DE,Kouros am See
fd,DE,Padellino
fd,DE,O'Neill's Irish Pub
md,DE,Apotheke am Stadtgarten
fd,DE,Bierhäusle
fd,DE,Zum Lamm - Da Sandro
fd,DE,Taqueria Taol
fd,DE,"Gasthaus ""Zum Pfaffenstein“"
fd,DE,Der Gundhof
fd,DE,Zum Pferdestall
fd,DE,Waldhotel und Restaurant Müggenbusch
fd,DE,Naturfreundehaus Wagbachhäus'l
md,DE,Carmeliter-Apotheke
en,DE,KW Kino Center
md,DE,Schwanen-Apotheke
fd,DE,Haus des Cannabis
md,DE,farma-plus Apotheke
en,DE,Lincoln-Theater
md,DE,Paulus Apotheke
md,DE,Central-Apotheke
fd,DE,Sachers
fd,DE,Haus Leythe
md,DE,Apotheke am Hohenzollernpark
md,DE,Hagen-Apotheke
fd,DE,La Fontana di Capri
md,DE,Rupertus-Apotheke
fd,DE,Rosine
fd,DE,Pinseria Bufala
md,DE,Entensee-Apotheke
fd,DE,La Locanda
bk,DE,Heid
md,DE,St. Hildegardis Apotheke
fd,DE,Tresor
md,DE,Markt-Apotheke
md,DE,Alte Apotheke von 1828
md,DE,Post-Apotheke
md,DE,Apotheke am Rathausplatz
md,DE,Glückauf-Apotheke
md,DE,Sankt Paulus Apotheke
fd,DE,Gaststätte Ostschenke
sm,DE,Rewe Siegbert Ponzer
md,DE,Hammer Apotheke
md,DE,Heubergredder Apotheke
fd,DE,Zum Löwen
fd,DE,Minoas
fd,DE,Café Binder
en,DE,Casablanca
sm,DE,EDEKA Märkl
bk,DE,Backhaus Eckey
en,DE,Universum City
en,DE,Kinemathek
fd,DE,Schlachthof
fd,DE,Adria Restaurant
fd,DE,Die Mühle am Hafen
fd,DE,Hexenkessel
fd,DE,Rim Wang
fd,DE,Gärtner Hütt
bk,DE,Lörz
bk,DE,Rathaus Bäckerei
fd,DE,Ristorante Basilikum
fd,DE,Musiktruhe
fd,DE,Glücksbissen
fd,DE,Die Zwiebel
fd,DE,Domino's
fd,DE,Oxford Café Ost
fd,DE,Werkbank
fd,DE,Petticoat
fd,DE,Il Caminetto
fd,DE,Neckarmüller
fd,DE,Waldmax
fd,DE,Cafe Einstein
fd,DE,Zum Hirzberg
fd,DE,Pizzaria Picasso
md,DE,k&k-Apotheke
fd,DE,Babeuf
fd,DE,Café Hermann
fd,DE,Wirtshaus zum Goldenen Anker
fd,DE,Lambertushof
fd,DE,Hausbrauerei Feierling
md,DE,Schloß-Apotheke
fd,DE,Paradies
fd,DE,UC Uni Café
md,DE,Brunnen-Apotheke
md,DE,Hubertus-Apotheke
md,DE,Apotheke am Theater
md,DE,Breisgau Apotheke
fd,DE,Heiliggeist Stüble
fd,DE,Eden Galerie meets Blüten Café
md,DE,Löwenapotheke
fd,DE,Hotel Oberkirch
fd,DE,Gasthaus zum Kranz
fd,DE,Zum Deutschen Haus
en,DE,Harmonie
fd,DE,Harmonie
fd,DE,Lichtblick
bk,DE,Café Bäcker Mayer
fd,DE,Barista Davide
fd,DE,Café Journal
fd,DE,Schwarzer Kater
cl,DE,KiK
en,DE,Utopia
fd,DE,Gasthaus Neumeier
fd,DE,Kümmel Kopp
fd,DE,Fischerkaten
fd,DE,Landhaus Wibbecke
fd,DE,Sushi Palace
fd,DE,Postkutscherl
fd,DE,Gaststätte Schwabenstube
fd,DE,Gasthof Krone
fd,DE,Shalom Makkabi
fd,DE,Zum Adler
fd,DE,Ginnheimer Wirtshaus
fd,DE,Restaurant Le Phenix
fd,DE,China Imbiss Drache
fd,DE,Eiscafé Rialto
fd,DE,Fattoria
fd,DE,Burgerhaus
fd,DE,Gameiro Pizza-Express
fd,DE,Restaurant Irodion
fd,DE,Toy´s Pizza Express
fd,DE,Imbiss am Schapp
fd,DE,Pizzaria Da Stefano
fd,DE,Zapfhahn
fd,DE,Pizzaria Rondinella Inh. Faris Seven
fd,DE,La Fontana
fd,DE,Becker-Krug
fd,DE,Brinker
fd,DE,Kurkönig
fd,DE,Kartoffelhaus
bk,DE,Sieveking
fd,DE,Jahnecken Imbiss
fd,DE,Manni's Bierkeller
fd,DE,Haus Flores Restaurant
fd,DE,Pizzeria Venezia
fd,DE,Sport- und Brückenhaus
fd,DE,Rosengarten
fd,DE,Brater Grill
fd,DE,Pamukkale
fd,DE,Tölken's Pommesbude
en,DE,Casino Baden-Baden
md,DE,Laurentiusapotheke
sm,DE,"Edeka-Markt, Rink OHG"
md,DE,Kranich-Apotheke
fd,DE,Waldrestaurant Maxlmühle
fd,DE,Zum Siedlerhaus
fd,DE,Dickworz
fd,DE,Haus Pehlitzwerder
fd,DE,Kaisergarten
md,DE,Cäcilien-Apotheke
bk,DE,Moss
bk,DE,Bäckerei Nussbaumer
fd,DE,Eis-Café Barbarossa
fd,DE,Casa del Nonno
md,DE,Primus Apotheke
fd,DE,Havana Shisha Lounge
fd,DE,"Gasthaus ""Zum Eckenhaider Schloß"""
bk,DE,Bäckerei Konditorei Andreä
fd,DE,Aumatt
fd,DE,Thai Garden
fd,DE,Dolce Vita
fd,DE,Gasthof Drexler
sm,DE,ALDI Süd
fd,DE,Bauer's Gaststätte
fd,DE,Pizzeria Don Camillo
md,DE,Westend-Apotheke
fd,DE,Al Sindbad Grill
fd,DE,Fresh For You
fd,DE,Don Camillo
fd,DE,Gasthof Hufer
fd,DE,Altes Brauhaus am Schlössle
md,DE,Heinrich-Heine-Apotheke
bk,DE,Mühlenbäcker Schmacke
fd,DE,Zum Steinbachtal
md,DE,Michel-Apotheke
sm,DE,Edeka Zegarek
sm,DE,Marktkauf
bk,DE,Bäckerei Deicke
md,DE,Uhlen Apotheke
fd,DE,Zur alten Schmiede
fd,DE,Flugplatz HIGHningen - Landebar
fd,DE,Ahburs Schüne
bk,DE,Back-Factory
fd,DE,Gasthof Coesfelder Tor
fd,DE,Hotel - Restaurat Zum Tiergarten
fd,DE,In der Trinkhalle
fd,DE,Ristorante Lucania
md,DE,Apotheke im Marktkauf-Center
fd,DE,Raststätte Siegerland-West
fd,DE,Friedberger Warte
en,DE,Cinestar
en,DE,DAS DA Theater
sm,DE,ALDI
sm,DE,PLUS Wetzels
fd,DE,Franziskaner Garten
fd,DE,Pizzeria Da Angelo
bk,DE,Wolfgang's Semmeleck
fd,DE,Verein für Schäferhunde
en,DE,Freilichtbühne Marklohe
en,DE,Seebühne
md,DE,Engel-Apotheke
fd,DE,Silvi's Bistro
fd,DE,Tiroler Stuben
md,DE,Holzmarkt Apotheke
fd,DE,Schmiede
bk,DE,Ana Maria's Backstube
en,DE,Die Käuze
fd,DE,Speisegaststätte Schlossblick
md,DE,Remsapotheke
fd,DE,Müller's Lust
fd,DE,"Gasthaus ""Neue Post"""
sm,DE,nah und gut
fd,DE,Zur Kleinen Kneipe
fd,DE,Goldener Löwe
ft,DE,Gymnastikraum III
fd,DE,Zum Bartewirt
fd,DE,Landgasthof Lacherdinger
md,DE,Weier Apotheke
fd,DE,Restaurant im Golfclub
fd,DE,Gerbermühle
fd,DE,Berghütte Schareben
fd,DE,Naturfreundehaus Rheinwaldhütte
bk,DE,Klöffer
fd,DE,Haus Rheingarten
fd,DE,Theaterkeller
fd,DE,Bistro u Pension Estrella
fd,DE,Bäckerei Mintzbrueck
fd,DE,Zum Wellsee
sm,DE,Penny Markt
fd,DE,Go Club
sm,DE,Nah und gut Grimm
fd,DE,Zur Guten Quelle
fd,DE,Möwe cafe-bar
fd,DE,Deichgraf
fd,DE,Gasthaus Auerhahn
fd,DE,Altdeutsche Bauernstube
fd,DE,Bikertreff Nordkirchen
fd,DE,Coffee Star
fd,DE,Mai Tai
md,DE,Dr. med. Jacqueline Weiß
fd,DE,Ratskeller
fd,DE,Pub am Markt
bk,DE,Bäckerei Leuchtner
fd,DE,Paella
el,DE,MediaMarkt
fd,DE,Cancún
bk,DE,Bäckerei Knapp
md,DE,Florian Apotheke
md,DE,Marien-Apotheke
md,DE,Berthold-Apotheke
md,DE,Deich-Apotheke
fd,DE,Haus am See
fd,DE,La Foresta (Schatulle)
fd,DE,Marmorsaal
md,DE,Dünsberg-Apotheke
md,DE,Georgen Apotheke Schmid und Leining
sm,DE,Globus
fd,DE,Sportgaststätte FC Lichtental
md,DE,Rathaus-Apotheke
